trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,0,-38.76312538025066,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",30,0,-27.4389887409391,"{0: 26, 1: 1, 2: 0, 3: 3, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,0,-98.0055322452695,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,0,-113.99680854038255,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,0,-118.76510217173103,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,7,-26.04955682943762,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",30,18,10.322290266399397,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,0,-54.98882330209443,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",30,0,-96.21703870949275,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,10,9.071172095131516,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,3,-50.50721712191554,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,8,16.792008068177825,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,3,-116.45750377136775,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 2}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",25,0,-29.19431329392534,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",25,14,-36.18133217363829,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",25,0,-122.91192032889747,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,0,-114.49715767500683,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,13,-6.919537502047043,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,10,9.891824475396296,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,14,4.784264802668366,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,0,-118.13589987133014,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",25,3,-2.7980792066207227,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,0,-34.80628356735164,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,11,-1.678800536901606,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",35,19,-42.8506797631053,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",35,13,-13.758503481925302,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",35,0,-98.21095779023874,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",0
